question,stem,option_order,option_label,option_score
1,对做事没有兴趣或没有乐趣,1,完全没有,0
1,对做事没有兴趣或没有乐趣,2,好几天,1
1,对做事没有兴趣或没有乐趣,3,超过一半天数,2
1,对做事没有兴趣或没有乐趣,4,几乎每天,3
2,感到心情低落、沮丧或绝望,1,完全没有,0
2,感到心情低落、沮丧或绝望,2,好几天,1
2,感到心情低落、沮丧或绝望,3,超过一半天数,2
2,感到心情低落、沮丧或绝望,4,几乎每天,3
3,入睡困难、睡不安稳或睡得过多,1,完全没有,0
3,入睡困难、睡不安稳或睡得过多,2,好几天,1
3,入睡困难、睡不安稳或睡得过多,3,超过一半天数,2
3,入睡困难、睡不安稳或睡得过多,4,几乎每天,3
4,感到疲倦或没有精力,1,完全没有,0
4,感到疲倦或没有精力,2,好几天,1
4,感到疲倦或没有精力,3,超过一半天数,2
4,感到疲倦或没有精力,4,几乎每天,3
5,食欲不振或吃得过多,1,完全没有,0
5,食欲不振或吃得过多,2,好几天,1
5,食欲不振或吃得过多,3,超过一半天数,2
5,食欲不振或吃得过多,4,几乎每天,3
6,觉得自己很糟糕或让自己或家人失望,1,完全没有,0
6,觉得自己很糟糕或让自己或家人失望,2,好几天,1
6,觉得自己很糟糕或让自己或家人失望,3,超过一半天数,2
6,觉得自己很糟糕或让自己或家人失望,4,几乎每天,3
7,对事情专注有困难,1,完全没有,0
7,对事情专注有困难,2,好几天,1
7,对事情专注有困难,3,超过一半天数,2
7,对事情专注有困难,4,几乎每天,3
8,行动或说话缓慢到别人可能注意到或坐立不安,1,完全没有,0
8,行动或说话缓慢到别人可能注意到或坐立不安,2,好几天,1
8,行动或说话缓慢到别人可能注意到或坐立不安,3,超过一半天数,2
8,行动或说话缓慢到别人可能注意到或坐立不安,4,几乎每天,3
9,觉得活着没有意义或有类似想法,1,完全没有,0
9,觉得活着没有意义或有类似想法,2,好几天,1
9,觉得活着没有意义或有类似想法,3,超过一半天数,2
9,觉得活着没有意义或有类似想法,4,几乎每天,3
